from,to,distance
香川県,京都府,173.91728163056095
秋田県,宮城県,174.37671374650998
山形県,岩手県,176.40809226721044
兵庫県,福井県,179.46828802530672
岡山県,滋賀県,180.52376312057413
大分県,高知県,181.66175355477077
宮崎県,佐賀県,182.36261826020788
香川県,滋賀県,182.50011683702917
愛媛県,島根県,183.16658734810454
山梨県,茨城県,184.99552560408685
静岡県,長野県,187.0781415105477
福井県,長野県,187.14928177815634
長野県,神奈川県,187.5399328353063
鹿児島県,佐賀県,189.39607378521683
鳥取県,福井県,189.51152780067534
滋賀県,石川県,189.52901995092088
栃木県,山形県,190.98023870888372
和歌山県,愛知県,191.131639879179
京都府,石川県,191.70201290752175
岐阜県,長野県,191.96553463441455
和歌山県,岐阜県,192.16402767805803
徳島県,三重県,193.49329986788405
群馬県,福島県,195.98773002690157
徳島県,広島県,196.52383087185592
高知県,兵庫県,197.36831175449024
愛知県,長野県,199.82125880140137
高知県,山口県,202.49808431718074
石川県,山梨県,202.85042674285043
山口県,島根県,203.06172190223245
広島県,鳥取県,203.57177122533497
長野県,茨城県,205.42340316150725
三重県,石川県,207.5551680202455
福岡県,広島県,207.669478435454
徳島県,島根県,208.44386838687285
栃木県,宮城県,208.51484718432073
富山県,新潟県,209.0540665007678
長野県,千葉県,209.6899247285118
宮崎県,福岡県,210.66484736833257
鹿児島県,大分県,211.19602030488866
茨城県,山形県,211.30659090706595
島根県,兵庫県,212.57810105517103
三重県,山梨県,214.01435354352637
新潟県,茨城県,214.5649499523575
福井県,山梨県,216.0932871812023
高知県,島根県,217.16963003969667
茨城県,宮城県,217.60328377075822
長崎県,山口県,218.2403025823665
静岡県,富山県,218.31441244057265
福岡県,愛媛県,218.7212102356633
石川県,群馬県,218.86231573918428
福島県,秋田県,221.1802731028865
熊本県,愛媛県,221.50720001759558
高知県,大阪府,221.83214361795598
新潟県,秋田県,222.55289954838764
静岡県,栃木県,222.57257054014318
埼玉県,福島県,222.76425528872153
滋賀県,富山県,223.6036244682839
鳥取県,三重県,223.67537266918737
奈良県,石川県,224.04975919085282
福島県,岩手県,225.20393886224667
鳥取県,岐阜県,225.3443549653317
愛媛県,和歌山県,225.3688061455235
高知県,鳥取県,225.64845231370472
和歌山県,福井県,225.85945480620782
三重県,富山県,227.52243138902946
京都府,富山県,227.7139100805681
鹿児島県,福岡県,227.8952105376223
愛媛県,鳥取県,228.6341809860335
滋賀県,静岡県,229.09557839583752
香川県,三重県,229.93915001283665
静岡県,福井県,229.98708966106716
山口県,岡山県,232.0734594884489
新潟県,埼玉県,234.12434240222063
大阪府,石川県,234.5065253819585
奈良県,静岡県,235.01388905952783
岡山県,三重県,235.40400753536537
群馬県,山形県,235.70293956180666
愛知県,群馬県,236.38813804881542
長野県,福島県,236.506974360849
佐賀県,広島県,236.8429832926121
香川県,山口県,236.97434623411903
